zipcodeid,zipcode,moyennetransaction
75101,75001,610.8692196260764
75102,75002,640.3664435394529
75103,75003,502.69396315485625
75104,75004,619.016393442623
75105,75005,442.63157894736844
75106,75006,528.5221556886228
75107,75007,801.1174785100286
75108,75008,719.9097911749478
75109,75009,636.8793291830772
75110,75010,487.49478814132937
75111,75011,460.5191036002939
75112,75012,330.0251677852349
75113,75013,599.758593779033
75114,75014,544.9795882456449
75115,75015,448.5294117647059
75116,75016,654.9203821656051
75117,75017,513.6595880568418
75118,75018,320.34827499370436
75119,75019,469.6825396825397
75120,75020,291.3168449197861
