zipcodeid,zipcode,moyenneloyer
75101,75001,606.5892057312474
75102,75002,688.6784184919892
75103,75003,583.2716529311149
75104,75004,680.704063916935
75105,75005,589.434131736527
75106,75006,586.635510665399
75107,75007,664.9976240172546
75108,75008,680.8138924735298
75109,75009,639.5473203061235
75110,75010,512.7397383309733
75111,75011,544.0263619973026
75112,75012,521.0899131364813
75113,75013,470.1549851924975
75114,75014,420.3139742663547
75115,75015,380.4651472827525
75116,75016,489.5017359838176
75117,75017,562.8605294314922
75118,75018,321.8115055079559
75119,75019,424.5916962150573
75120,75020,361.0441068350066
