zipcode,moyenneloyer,nboffer
75001,570.1810490693739,59
75002,635.3904995608623,149
75003,564.4944336049581,53
75004,678.4954271026361,20
75005,479.1169590643275,2
75006,585.9535285079872,18
75007,573.6343062605753,15
75008,667.1738677635266,334
75009,626.0067770085675,153
75010,471.21317545560976,105
75011,554.966487595787,78
75012,439.4966307322277,36
75013,500.99156781477774,25
75014,423.07599678025224,42
75015,391.57384446738536,74
75016,492.2849286620774,28
75017,556.0571045736036,91
75018,363.61638632664136,9
75019,399.8902543583881,15
75020,362.12256550022875,12
